player_name,team,pos,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fantasy_points
Lamar Jackson,BAL,QB,3859.3,32.3,8.2,828.1,3.9,0,0,0,373.38
Josh Allen,BUF,QB,3904.1,29.0,10.4,572.5,10.7,0,0,0,372.81
Jalen Hurts,PHI,QB,3530.8,23.6,8.6,633.6,12.7,0,0,0,357.99
Jayden Daniels,WAS,QB,3853.7,26.7,10.5,750.1,5.7,0,0,0,349.16
Joe Burrow,CIN,QB,4625.6,35.7,10.4,179.7,2.1,0,0,0,337.59
Patrick Mahomes II,KC,QB,4259.5,30.3,12.1,365.6,2.8,0,0,0,320.74
Kyler Murray,ARI,QB,3808.4,24.2,11.1,551.7,5.1,0,0,0,312.71
Baker Mayfield,TB,QB,4151.0,32.7,14.6,288.5,2.6,0,0,0,312.09
Brock Purdy,SF,QB,4276.1,27.0,12.4,279.0,3.6,0,0,0,303.74
Bo Nix,DEN,QB,3789.9,27.4,12.0,423.3,3.5,0,0,0,300.53
Justin Fields,NYJ,QB,3232.9,19.3,10.8,744.3,6.1,0,0,0,295.95
Caleb Williams,CHI,QB,3750.6,23.8,10.3,469.9,2.6,0,0,0,287.21
Justin Herbert,LAC,QB,3943.9,25.6,8.5,272.0,2.6,0,0,0,285.96
Dak Prescott,DAL,QB,4255.9,27.6,12.1,178.1,1.9,0,0,0,285.65
J.J. McCarthy,MIN,QB,4045.6,28.5,14.4,258.2,2.1,0,0,0,285.44
Jared Goff,DET,QB,4336.6,29.9,11.4,61.5,0.5,0,0,0,279.41
C.J. Stroud,HOU,QB,4056.7,24.9,10.6,256.8,1.7,0,0,0,276.55
Drake Maye,NE,QB,3568.8,22.7,12.7,491.5,3.1,0,0,0,275.9
Trevor Lawrence,JAC,QB,3973.4,23.4,13.0,252.2,3.1,0,0,0,270.36
Jordan Love,GB,QB,3888.3,27.6,12.1,166.9,1.9,0,0,0,269.82
Bryce Young,CAR,QB,3638.6,21.7,12.0,294.8,3.5,0,0,0,258.82
Tua Tagovailoa,MIA,QB,4133.4,26.0,11.9,86.1,0.5,0,0,0,257.15
Michael Penix Jr.,ATL,QB,3913.2,23.5,13.4,196.6,2.1,0,0,0,255.99
Geno Smith,LV,QB,3952.9,22.0,13.4,242.4,1.7,0,0,0,253.76
Matthew Stafford,LAR,QB,4023.0,25.7,10.9,72.6,0.7,0,0,0,253.38
Cam Ward,TEN,QB,3642.6,21.8,13.8,330.1,2.4,0,0,0,252.71
Sam Darnold,SEA,QB,3793.5,22.7,13.8,205.3,1.9,0,0,0,246.87
Aaron Rodgers,PIT,QB,3738.8,22.9,9.7,80.5,0.4,0,0,0,232.2
Daniel Jones,IND,QB,2881.9,17.2,9.9,408.4,3.4,0,0,0,225.52
Russell Wilson,NYG,QB,2848.5,15.1,7.6,212.1,1.9,0,0,0,191.75
Spencer Rattler,NO,QB,2831.4,15.2,9.8,235.2,1.2,0,0,0,185.18
Joe Flacco,CIN,QB,2756.1,14.1,11.3,43.5,0.4,0,0,0,150.79
Anthony Richardson Sr.,IND,QB,661.4,3.6,3.2,146.4,1.4,0,0,0,57.5
Tyler Shough,NO,QB,884.8,4.3,3.5,75.3,0.4,0,0,0,55.52
Jaxson Dart,NYG,QB,799.4,4.4,3.2,62.3,0.5,0,0,0,52.41
Dillon Gabriel,CLE,QB,793.2,3.9,2.9,45.2,0.4,0,0,0,48.45
Shedeur Sanders,CLE,QB,649.2,3.1,2.5,37.0,0.1,0,0,0,37.67
Jalen Milroe,SEA,QB,130.4,0.8,0.8,110.9,1.0,0,0,0,23.91
Mason Rudolph,PIT,QB,151.5,0.9,0.7,67.7,0.5,0,0,0,18.03
Jimmy Garoppolo,LAR,QB,209.4,1.6,0.7,2.9,0.0,0,0,0,13.67
Malik Willis,GB,QB,157.7,0.9,0.3,28.2,0.2,0,0,0,13.33
Marcus Mariota,WAS,QB,172.5,1.1,0.3,22.3,0.0,0,0,0,12.93
Jameis Winston,NYG,QB,199.3,1.3,0.7,11.3,0.0,0,0,0,12.9
Tyrod Taylor,NYJ,QB,186.1,0.9,0.9,23.0,0.0,0,0,0,11.54
Gardner Minshew II,KC,QB,151.7,1.0,0.5,7.8,0.0,0,0,0,9.85
Mac Jones,SF,QB,172.3,0.9,0.7,7.5,0.0,0,0,0,9.84
Zach Wilson,MIA,QB,153.7,0.9,0.5,10.3,0.0,0,0,0,9.78
Joshua Dobbs,NE,QB,156.4,0.9,0.7,12.6,0.0,0,0,0,9.72
Aidan O'Connell,LV,QB,158.5,1.0,0.5,3.0,0.0,0,0,0,9.64
Jake Browning,CIN,QB,135.7,1.0,0.4,8.4,0.0,0,0,0,9.47
Jacoby Brissett,ARI,QB,147.9,0.7,0.5,9.5,0.0,0,0,0,8.67
Andy Dalton,CAR,QB,129.6,0.9,0.7,6.0,0.0,0,0,0,7.98
Cooper Rush,BAL,QB,117.5,0.7,0.3,10.1,0.0,0,0,0,7.91
Tanner McKee,PHI,QB,125.1,0.7,0.4,8.0,0.0,0,0,0,7.8
Joe Milton III,DAL,QB,123.3,0.6,0.4,11.8,0.0,0,0,0,7.71
Kenny Pickett,LV,QB,123.2,0.6,0.3,8.5,0.0,0,0,0,7.58
Mitchell Trubisky,BUF,QB,118.1,0.7,0.4,7.9,0.0,0,0,0,7.51
Kirk Cousins,ATL,QB,129.9,0.7,0.6,6.3,0.0,0,0,0,7.43
Jarrett Stidham,DEN,QB,116.2,0.7,0.4,7.6,0.0,0,0,0,7.41
Nick Mullens,JAC,QB,127.1,0.7,0.6,6.5,0.0,0,0,0,7.33
Tyson Bagent,CHI,QB,115.0,0.6,0.4,11.1,0.0,0,0,0,7.31
Davis Mills,HOU,QB,116.1,0.7,0.4,6.4,0.0,0,0,0,7.28
Teddy Bridgewater,TB,QB,120.6,0.7,0.6,8.0,0.0,0,0,0,7.22
Carson Wentz,MIN,QB,109.2,0.7,0.6,11.6,0.0,0,0,0,7.13
Kyle Allen,DET,QB,107.6,0.6,0.1,1.3,0.0,0,0,0,6.63
Sam Howell,PHI,QB,91.3,0.8,0.4,4.7,0.0,0,0,0,6.52
Trey Lance,LAC,QB,110.9,0.4,0.4,12.5,0.0,0,0,0,6.49
Drew Lock,SEA,QB,109.2,0.6,0.6,6.0,0.0,0,0,0,6.17
Deshaun Watson,CLE,QB,99.0,0.5,0.5,12.0,0.0,0,0,0,6.16
Brandon Allen,TEN,QB,110.2,0.6,0.6,5.0,0.0,0,0,0,6.11
Quinn Ewers,MIA,QB,100.0,0.5,0.5,7.0,0.0,0,0,0,5.7
Graham Mertz,HOU,QB,59.5,0.5,0.0,4.0,0.0,0,0,0,4.78
Will Howard,PIT,QB,44.5,0.5,0.0,3.0,0.0,0,0,0,4.08
Josh Johnson,WAS,QB,36.3,0.2,0.2,0.0,0.0,0,0,0,1.85
Â ,0,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Case Keenum,CHI,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Trevor Siemian,TEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
C.J. Beathard,DET,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Mike White,CAR,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
John Wolford,MIN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Brett Rypien,IND,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Easton Stick,ATL,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Tyler Huntley,BAL,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Shane Buechele,BUF,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Sam Ehlinger,DEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Sean Clifford,CIN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Will Levis,TEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Kyle McCord,PHI,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Stetson Bennett IV,LAR,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Bailey Zappe,CLE,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Skylar Thompson,PIT,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Chris Oladokun,KC,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Jake Haener,NO,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Clayton Tune,GB,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Riley Leonard,IND,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Tommy DeVito,NE,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Kurtis Rourke,SF,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Cam Miller,LV,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
